name,gender,birth,death,title,period,succession,custom,note
Leonidas,male,约前540,前480,King of Sparta,前489-前480,,,Died at the Battle of Thermopylae (480 BC)
Pericles,male,约前495,前429,Leader of Athens (general),前461-前429,,,Height of Athenian democracy. Parthenon
Philip II (Macedon),male,前382,前336,King of Macedon,前359-前336,,,United Greece. Father of Alexander the Great
Alexander the Great,male,前356,前323,"King of Macedon, the Great",前336-前323,Philip II (Macedon),,Built a world empire. Student of Aristotle
Brutus,male,约前545,前509,First consul (legend),前509,,,Legendary founder of the Roman Republic
Camillus,male,约前446,前365,Consul and dictator,前390,,,"Repelled the Gauls. ""Second founder of Rome"""
Scipio Africanus,male,前236,前183,Consul and general,前210-前201,,,Defeated Hannibal in the Second Punic War
Marius,male,前157,前86,Consul (7 times) and general,前107-前86,,,Military reform. Jugurthine and Cimbrian wars
Sulla,male,前138,前78,Dictator,前82-前79,,,Purged the Marians. Became dictator
Pompey,male,前106,前48,Triumvir and general,前70-前48,,,Mithridatic wars. Civil war with Caesar
Cicero,male,前106,前43,Consul and orator,前63,,,"""The state is ruled by law."" Executed by Antony"
Julius Caesar,male,前100,前44,Dictator for life,前49-前44,,,Conquered Gaul. Julian calendar. Adopted Octavian
Mark Antony,male,前83,前30,General (triumvir),前43-前31,,,"Allied with Cleopatra, defeated by Octavian"
Augustus,male,前63,14,First Roman emperor,前27-14,Julius Caesar,,Caesar's adopted son. Founded the Empire. Pax Romana
Tiberius,male,前42,37,2nd Roman emperor,14-37,Augustus,,Augustus' adopted son. Retired to Capri
Caligula,male,12,41,3rd Roman emperor,37-41,Tiberius,,Byword for tyranny. Assassinated by the Praetorian Guard
Claudius,male,前10,54,4th Roman emperor,41-54,Caligula,,Conquered Britannia
Nero,male,37,68,5th Roman emperor,54-68,Claudius,,Great Fire of Rome. Last of the Julio-Claudian dynasty
Vespasian,male,9,79,9th Roman emperor,69-79,Nero,,Founded the Flavian dynasty. Began the Colosseum
Titus,male,39,81,10th Roman emperor,79-81,Vespasian,,Vesuvius eruption; Colosseum completed
Domitian,male,51,96,11th Roman emperor,81-96,Titus,,Last of the Flavians. Assassinated
Nerva,male,30,98,12th Roman emperor,96-98,Domitian,,First of the Five Good Emperors. Established adoption succession
Trajan,male,53,117,13th Roman emperor,98-117,Nerva,,Five Good Emperors. Empire at its greatest extent
Hadrian,male,76,138,14th Roman emperor,117-138,Trajan,,Five Good Emperors. Hadrian's Wall. Rebuilt the Pantheon
Antoninus Pius,male,86,161,15th Roman emperor,138-161,Hadrian,,Five Good Emperors. Adopted Marcus Aurelius
Marcus Aurelius,male,121,180,16th Roman emperor,161-180,Antoninus Pius,,"Five Good Emperors. ""Philosopher Emperor"", author of Meditations"
Commodus,male,161,192,17th Roman emperor,180-192,Marcus Aurelius,,Tyranny. Last of the Nerva-Antonine dynasty
Septimius Severus,male,145,211,21st Roman emperor,193-211,,,Founded the Severan dynasty
Caracalla,male,188,217,22nd Roman emperor,211-217,Septimius Severus,,Edict of Caracalla (granted citizenship)
Aurelian,male,214,275,40th Roman emperor,270-275,,,Soldier emperor. Reunified the Empire
Diocletian,male,244,311,51st Roman emperor,284-305,,,Tetrarchy. Established autocracy
Theodosius I,male,347,395,66th Roman emperor,379-395,,,Made Christianity the state religion. Divided the Empire
Romulus Augustulus,male,约460,约511,Last Western Roman emperor,475-476,,,Fall of the Western Roman Empire (476)
Constantine I,male,272,337,Roman emperor (moved capital to Constantinople),306-337,,,Edict of Milan. Moved capital in 330. Founder of Byzantium
Justinian I,male,483,565,Eastern Roman emperor,527-565,,,Corpus Juris Civilis. Rebuilt Constantinople
Heraclius,male,约575,641,Eastern Roman emperor,610-641,,,Defeated Sassanid Persia. Military reform
Leo III,male,约685,741,Eastern Roman emperor,717-741,,,Repelled the Islamic armies. Iconoclasm
Irene,female,约752,803,Eastern Roman empress,797-802,,,Restored icon veneration (Second Council of Nicaea)
Basil II,male,958,1025,Eastern Roman emperor,976-1025,,,"Conquered Bulgaria. ""Bulgar-slayer"""
