名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
斐迪南二世（阿拉贡）,男,1452,1516,,,伊莎贝拉一世,阿拉贡国王,1479-1516,完成收复失地运动。资助哥伦布
伊莎贝拉一世,女,1451,1504,,,斐迪南二世（阿拉贡）,卡斯蒂利亚女王,1474-1504,资助哥伦布航海。西班牙统一的基础
腓力二世（西班牙）,男,1527,1598,查理五世,,,西班牙国王,1556-1598,无敌舰队。无敌舰队之战中战败
腓力三世（西班牙）,男,1578,1621,腓力二世（西班牙）,,,西班牙国王,1598-1621,
腓力四世（西班牙）,男,1605,1665,腓力三世（西班牙）,,,西班牙国王,1621-1665,三十年战争。请委拉斯开兹绘制肖像
卡洛斯二世（西班牙）,男,1661,1700,腓力四世（西班牙）,,,西班牙国王（哈布斯堡末代）,1665-1700,近亲通婚的影响。哈布斯堡家族断绝
腓力五世,男,1683,1746,,,,西班牙国王（波旁王朝首任）,1700-1746,西班牙王位继承战争后建立波旁王朝
卡洛斯三世（西班牙）,男,1716,1788,,,,西班牙国王,1759-1788,开明专制君主
卡洛斯四世（西班牙）,男,1748,1819,,,,西班牙国王,1788-1808,被拿破仑逼迫退位
费尔南多七世,男,1784,1833,,,,西班牙国王,1808-1833,拿破仑战争·西班牙独立战争
伊莎贝拉二世,女,1830,1904,,,,西班牙女王,1833-1868,王位之争。卡洛斯战争
阿方索十三世,男,1886,1941,,,,西班牙国王,1902-1931,共和国成立后流亡
胡安·卡洛斯一世,男,1938,,,,,西班牙国王,1975-2014,佛朗哥之后主导民主化。退位
费利佩六世,男,1968,,胡安·卡洛斯一世,,,西班牙国王（在位）,2014-,
查理五世,男,1500,1558,,,,神圣罗马皇帝·西班牙国王卡洛斯一世,1519-1556,「日不落帝国」。退位入修道院
