名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
奥托一世,男,912,973,,,,神圣罗马皇帝（奥托王朝）,962-973,962年加冕称帝。神圣罗马帝国创立者
亨利四世（神圣罗马）,男,1050,1106,,,,神圣罗马皇帝（萨利安王朝）,1084-1105,卡诺莎之辱（1077年）
腓特烈一世,男,1122,1190,,,,神圣罗马皇帝（霍亨斯陶芬王朝）,1155-1190,红胡子。第三次十字军中溺亡
腓特烈二世,男,1194,1250,,,,神圣罗马皇帝,1220-1250,「世界奇观」。西西里王国君主
鲁道夫一世,男,1218,1291,,,,罗马人国王（哈布斯堡首任）,1273-1291,哈布斯堡家族的崛起
查理四世（神圣罗马）,男,1316,1378,,,,神圣罗马皇帝（卢森堡王朝）,1355-1378,《金玺诏书》。定都布拉格
腓特烈三世,男,1415,1493,,,,神圣罗马皇帝,1440-1493,哈布斯堡家族的皇帝
马克西米利安一世,男,1459,1519,,,,神圣罗马皇帝（哈布斯堡）,1508-1519,以联姻外交扩张哈布斯堡家族
查理五世,男,1500,1558,,,,神圣罗马皇帝·西班牙国王卡洛斯一世,1519-1556,「日不落帝国」。退位入修道院
斐迪南二世（神圣罗马）,男,1578,1637,,,,神圣罗马皇帝,1619-1637,三十年战争时期的皇帝
斐迪南三世,男,1608,1657,,,,神圣罗马皇帝,1637-1657,三十年战争末期的皇帝
利奥波德一世,男,1640,1705,,,,神圣罗马皇帝,1658-1705,大土耳其战争中战胜奥斯曼帝国
约瑟夫一世,男,1678,1711,,,,神圣罗马皇帝,1705-1711,
查理六世（神圣罗马）,男,1685,1740,,,,神圣罗马皇帝,1711-1740,《国事诏书》。传位于玛丽亚·特蕾西亚
弗朗茨一世（神圣罗马）,男,1708,1765,,,,神圣罗马皇帝,1745-1765,玛丽亚·特蕾西亚之夫
约瑟夫二世,男,1741,1790,,,,神圣罗马皇帝,1765-1790,开明专制君主。解放农奴
利奥波德二世,男,1747,1792,,,,神圣罗马皇帝,1790-1792,
弗朗茨二世,男,1768,1835,,,,神圣罗马末代皇帝,1792-1806,神圣罗马帝国被拿破仑解散
