名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
ウラノス,男,约前2000,约前1900,,,ガイア,天空神（神話）,,神話・伝説。生没年は概算（timeline表示用）
ガイア,女,约前2000,约前1900,,,ウラノス,大地母神（神話）,,神話・伝説。生没年は概算（timeline表示用）
クロノス,男,约前1800,约前1700,ウラノス,ガイア,レア,ティタン神（神話）,,神話・伝説。ゼウスの父
レア,女,约前1800,约前1700,,,クロノス,ティタン神（神話）,,神話・伝説。ゼウスの母
ゼウス,男,约前1600,约前1400,クロノス,レア,ヘラ,オリュンポスの主神,,神話・伝説。オリュンポス十二神の主
ヘラ,女,约前1600,约前1400,クロノス,レア,ゼウス,婚姻の女神,,神話・伝説。ゼウスの后
ポセイドン,男,约前1600,约前1400,クロノス,レア,,海神,,神話・伝説。ゼウスの兄
デメテル,女,约前1600,约前1400,クロノス,レア,,豊穣の女神,,神話・伝説
ヘスティア,女,约前1600,约前1400,クロノス,レア,,炉の女神,,神話・伝説
アテナ,女,约前1500,约前1300,ゼウス,,,知恵の女神,,神話・伝説。アテナイの守護神
アポロン,男,约前1500,约前1300,ゼウス,レト,,太陽神,,神話・伝説。芸術の神
アルテミス,女,约前1500,约前1300,ゼウス,レト,,月の女神,,神話・伝説
アレス,男,约前1500,约前1300,ゼウス,ヘラ,,軍神,,神話・伝説
アフロディテ,女,约前1500,约前1300,ウラノス,,,愛と美の女神,,神話・伝説
ヘルメス,男,约前1500,约前1300,ゼウス,,,商業と伝令の神,,神話・伝説
ヘファイストス,男,约前1500,约前1300,ゼウス,ヘラ,,鍛冶の神,,神話・伝説
ディオニュソス,男,约前1500,约前1300,ゼウス,,,葡萄酒の神,,神話・伝説
レト,女,约前1550,约前1350,,,,ティタン神（アポロンの母）,,神話・伝説
エウリュステウス,男,约前1400,约前1200,,,,ミュケナイ王（神話）,,神話・伝説。ヘラクレスに十二の功業を命じる
ヘラクレス,男,约前1350,约前1200,ゼウス,,,英雄,,神話・伝説。十二の功業。ヘラクレス座
