name,gender,birth,death,father,mother,spouse,title,period,note
Constantine I,male,272,337,,,,Roman emperor (moved capital to Constantinople),306-337,Edict of Milan. Moved capital in 330. Founder of Byzantium
Justinian I,male,483,565,,,Theodora,Eastern Roman emperor,527-565,Corpus Juris Civilis. Rebuilt Constantinople
Theodora,female,约500,548,,,Justinian I,Empress (Justinian I),,Former actress. Co-ruled with the emperor. Suppressed the Nika revolt
Heraclius,male,约575,641,,,,Eastern Roman emperor,610-641,Defeated Sassanid Persia. Military reform
Leo III,male,约685,741,,,,Eastern Roman emperor,717-741,Repelled the Islamic armies. Iconoclasm
Irene,female,约752,803,,,,Eastern Roman empress,797-802,Restored icon veneration (Second Council of Nicaea)
Basil II,male,958,1025,,,,Eastern Roman emperor,976-1025,"Conquered Bulgaria. ""Bulgar-slayer"""
Alexios I,male,1048,1118,,,,Eastern Roman emperor,1081-1118,Komnenos dynasty. Cooperated with the Crusaders
John II,male,1087,1143,Alexios I,,,Eastern Roman emperor,1118-1143,Great emperor of the Komnenos dynasty
Manuel I,male,1118,1180,,,,Eastern Roman emperor,1143-1180,Height of the Komnenos dynasty
Michael VIII,male,1224,1282,,,,Eastern Roman emperor,1261-1282,Recaptured Constantinople from the Latin Empire
Constantine XI,male,1405,1453,,,,Last Eastern Roman emperor,1449-1453,Died fighting at the Fall of Constantinople. End of Byzantium
