名前,性別,生年,没年,肩書,期間,継承,朝代更换,メモ
列奥尼达,男,约前540,前480,斯巴达国王,前489-前480,,,温泉关之战（前480年）战死
伯里克利,男,约前495,前429,雅典领袖（将军）,前461-前429,,,雅典民主政治的鼎盛期。帕特农神庙
腓力二世（马其顿）,男,前382,前336,马其顿国王,前359-前336,,,统一希腊。亚历山大大帝之父
亚历山大大帝,男,前356,前323,马其顿国王·大帝,前336-前323,腓力二世（马其顿）,,建立世界帝国。师从亚里士多德
布鲁图斯,男,约前545,前509,首任执政官（传说）,前509,,,罗马共和国的传说创立者
卡米卢斯,男,约前446,前365,执政官·独裁官,前390,,,击退高卢人。「罗马第二奠基人」
大西庇阿,男,前236,前183,执政官·将军,前210-前201,,,第二次布匿战争中击败汉尼拔
马略,男,前157,前86,执政官（七任）·将军,前107-前86,,,军事改革。朱古达战争、辛布里战争
苏拉,男,前138,前78,独裁官,前82-前79,,,镇压马略派。出任独裁官
庞培,男,前106,前48,前三头同盟成员·将军,前70-前48,,,米特拉达梯战争。与凯撒内战
西塞罗,男,前106,前43,执政官·演说家,前63,,,「国家即法治」。被安东尼处死
尤利乌斯·凯撒,男,前100,前44,终身独裁官,前49-前44,,,征服高卢。儒略历。收养屋大维为养子
马克·安东尼,男,前83,前30,将军（后三头同盟）,前43-前31,,,与克利奥帕特拉结盟，败于屋大维
奥古斯都,男,前63,14,罗马帝国第一任皇帝,前27-14,尤利乌斯·凯撒,,凯撒养子。罗马帝国创立者。罗马和平
提比略,男,前42,37,罗马帝国第二任皇帝,14-37,奥古斯都,,奥古斯都养子。隐居卡普里岛
卡利古拉,男,12,41,罗马帝国第三任皇帝,37-41,提比略,,暴政的代名词。被近卫军刺杀
克劳狄,男,前10,54,罗马帝国第四任皇帝,41-54,卡利古拉,,征服不列颠
尼禄,男,37,68,罗马帝国第五任皇帝,54-68,克劳狄,,罗马大火。尤利乌斯-克劳狄王朝末代
韦斯巴芗,男,9,79,罗马帝国第九任皇帝,69-79,尼禄,,弗拉维王朝创立者。动工修建斗兽场
提图斯,男,39,81,罗马帝国第十任皇帝,79-81,韦斯巴芗,,维苏威火山爆发、斗兽场落成
图密善,男,51,96,罗马帝国第十一任皇帝,81-96,提图斯,,弗拉维王朝末代。被刺杀
涅尔瓦,男,30,98,罗马帝国第十二任皇帝,96-98,图密善,,五贤帝之首。确立养子继承制
图拉真,男,53,117,罗马帝国第十三任皇帝,98-117,涅尔瓦,,五贤帝。帝国版图最大
哈德良,男,76,138,罗马帝国第十四任皇帝,117-138,图拉真,,五贤帝。哈德良长城。重建万神殿
安敦尼·庇护,男,86,161,罗马帝国第十五任皇帝,138-161,哈德良,,五贤帝。收养马可·奥勒留
马可·奥勒留,男,121,180,罗马帝国第十六任皇帝,161-180,安敦尼·庇护,,五贤帝。「哲人皇帝」《沉思录》
康茂德,男,161,192,罗马帝国第十七任皇帝,180-192,马可·奥勒留,,暴政。涅尔瓦-安敦尼王朝末代
塞普蒂米乌斯·塞维鲁,男,145,211,罗马帝国第二十一任皇帝,193-211,,,塞维鲁王朝创立者
卡拉卡拉,男,188,217,罗马帝国第二十二任皇帝,211-217,塞普蒂米乌斯·塞维鲁,,安东尼努斯敕令（授予公民权）
