name,gender,birth,death,father,mother,spouse,title,period,note
Ferdinand II (Aragon),male,1452,1516,,,Isabella I,King of Aragon,1479-1516,Completed the Reconquista. Supported Columbus
Isabella I,female,1451,1504,,,Ferdinand II (Aragon),Queen of Castile,1474-1504,Sponsored Columbus. Foundation of Spanish unity
Philip II (Spain),male,1527,1598,Charles V,,,King of Spain,1556-1598,Invincible Armada. Defeated in the Armada
Philip III (Spain),male,1578,1621,Philip II (Spain),,,King of Spain,1598-1621,
Philip IV (Spain),male,1605,1665,Philip III (Spain),,,King of Spain,1621-1665,Thirty Years' War. Commissioned Velázquez
Charles II (Spain),male,1661,1700,Philip IV (Spain),,,King of Spain (last Habsburg),1665-1700,Effects of inbreeding. End of the Habsburg line
Philip V,male,1683,1746,,,,King of Spain (first Bourbon),1700-1746,Bourbon dynasty established after the War of Spanish Succession
Charles III (Spain),male,1716,1788,,,,King of Spain,1759-1788,Enlightened despot
Charles IV (Spain),male,1748,1819,,,,King of Spain,1788-1808,Forced to abdicate by Napoleon
Ferdinand VII,male,1784,1833,,,,King of Spain,1808-1833,Napoleonic Wars. Peninsular War
Isabella II,female,1830,1904,,,,Queen of Spain,1833-1868,Succession dispute. Carlist Wars
Alfonso XIII,male,1886,1941,,,,King of Spain,1902-1931,Fled into exile with the founding of the Republic
Juan Carlos I,male,1938,,,,,King of Spain,1975-2014,Led democratization after Franco. Abdicated
Felipe VI,male,1968,,Juan Carlos I,,,King of Spain (reigning),2014-,
Charles V,male,1500,1558,,,,"Holy Roman emperor, King Carlos I of Spain",1519-1556,"""Empire on which the sun never sets"". Abdicated to a monastery"
