名前,性別,生年,没年,肩書,主君,期間,メモ
罗伯特·沃波尔,男,1676,1745,首任首相,乔治一世,1721-1742,「首任首相」。确立内阁制度
纳尔逊,男,1758,1805,海军上将,乔治三世,,特拉法加海战中阵亡。尼罗河海战
小皮特,男,1759,1806,首相,乔治三世,1783-1806,拿破仑战争的领袖首相
惠灵顿,男,1769,1852,将军·首相,乔治四世,1828-1830,滑铁卢战役击败拿破仑
格莱斯顿,男,1809,1898,首相,维多利亚女王,1868-1894,自由党。格莱斯顿对迪斯雷利
迪斯雷利,男,1804,1881,首相,维多利亚女王,1874-1880,保守党。帝国主义政策
丘吉尔,男,1874,1965,首相,乔治六世,1940-1955,第二次世界大战的领袖。「铁幕」演说
撒切尔,女,1925,2013,首相（铁娘子）,伊丽莎白二世,1979-1990,英国首位女性首相。撒切尔主义
乔治一世,男,1660,1727,英国国王（汉诺威王朝首任）,,1714-1727,英国君主
乔治三世,男,1738,1820,英国国王,,1760-1820,英国君主
乔治四世,男,1762,1830,英国国王,,1820-1830,英国君主
维多利亚女王,女,1819,1901,英国女王,,1837-1901,英国君主
乔治六世,男,1895,1952,英国国王,,1936-1952,英国君主
伊丽莎白二世,女,1926,2022,英国女王,,1952-2022,英国君主
