name,gender,birth,death,father,mother,spouse,title,period,note
Otto I,male,912,973,,,,Holy Roman emperor (Ottonian),962-973,Crowned emperor in 962. Founder of the Holy Roman Empire
Henry IV (HRE),male,1050,1106,,,,Holy Roman emperor (Salian),1084-1105,Walk to Canossa (1077)
Frederick I,male,1122,1190,,,,Holy Roman emperor (Hohenstaufen),1155-1190,Barbarossa. Drowned on the Third Crusade
Frederick II,male,1194,1250,,,,Holy Roman emperor,1220-1250,"""Wonder of the world"". Ruler of the Kingdom of Sicily"
Rudolf I,male,1218,1291,,,,King of the Romans (first Habsburg),1273-1291,Rise of the House of Habsburg
Charles IV (HRE),male,1316,1378,,,,Holy Roman emperor (Luxembourg),1355-1378,Golden Bull. Made Prague the capital
Frederick III,male,1415,1493,,,,Holy Roman emperor,1440-1493,Habsburg emperor
Maximilian I,male,1459,1519,,,,Holy Roman emperor (Habsburg),1508-1519,Expanded the Habsburgs through marriage diplomacy
Charles V,male,1500,1558,,,,"Holy Roman emperor, King Carlos I of Spain",1519-1556,"""Empire on which the sun never sets"". Abdicated to a monastery"
Ferdinand II (HRE),male,1578,1637,,,,Holy Roman emperor,1619-1637,Emperor during the Thirty Years' War
Ferdinand III,male,1608,1657,,,,Holy Roman emperor,1637-1657,Emperor at the end of the Thirty Years' War
Leopold I,male,1640,1705,,,,Holy Roman emperor,1658-1705,Defeated the Ottoman Empire in the Great Turkish War
Joseph I,male,1678,1711,,,,Holy Roman emperor,1705-1711,
Charles VI (HRE),male,1685,1740,,,,Holy Roman emperor,1711-1740,Pragmatic Sanction. Succession of Maria Theresa
Francis I (HRE),male,1708,1765,,,,Holy Roman emperor,1745-1765,Husband of Maria Theresa
Joseph II,male,1741,1790,,,,Holy Roman emperor,1765-1790,Enlightened despot. Abolished serfdom
Leopold II,male,1747,1792,,,,Holy Roman emperor,1790-1792,
Francis II,male,1768,1835,,,,Last Holy Roman emperor,1792-1806,Holy Roman Empire dissolved by Napoleon
