名前,肩書,期間,継承,朝代更换,メモ
神代・大和,神話・古代,前660-592,,,神武天皇即位（前660）〜推古天皇。大和政権の形成。首都: 飛鳥以前の大和
飛鳥,古代,593-707,神代・大和,,聖徳太子の政治・大化改新・律令国家の形成。飛鳥文化
奈良,古代,707-781,飛鳥,,平城京遷都・天平文化。東大寺大仏
平安,古代,781-1185,奈良,,平安京遷都・摂関政治・院政。源平合戦で武家の台頭
鎌倉,武家政治,1183-1348,平安,,鎌倉幕府（源頼朝）。承久の乱・元寇。後醍醐天皇の討幕
南北朝,武家政治,1331-1392,鎌倉,,建武の新政と南北朝の並立（南朝=吉野・北朝=京都）
室町,武家政治,1392-1557,南北朝,,室町幕府（足利尊氏）。応仁の乱で戦国時代へ
戦国・安土桃山,武家政治,1557-1611,室町,,戦国時代・織田信長・豊臣秀吉。関ヶ原の戦い
江戸,近世,1611-1867,戦国・安土桃山,,江戸幕府（徳川家康）。鎖国・幕藩体制。黒船来航と開国
明治〜令和,近代・現代,1867-2019,江戸,,明治維新・大日本帝国憲法・戦後日本国憲法。首都: 東京
明治,近代,1868-1912,明治〜令和,,明治維新・殖産興業・富国強兵。日清・日露戦争
大正,近代,1912-1926,明治,,大正デモクラシー・第一次世界大戦
昭和,近代・現代,1926-1989,大正,,日中戦争・太平洋戦争・敗戦・高度経済成長
平成,現代,1989-2019,昭和,,バブル崩壊・平成不況・少子高齢化
令和,現代,2019-,平成,,現在の元号
