名前,性別,生年,没年,肩書,主君,期間,メモ
藤原良房,男,804,872,摂政,清和,,初の天皇以外による摂政。藤原北家の隆盛の基礎
藤原基経,男,836,891,関白,宇多,,阿衡事件。関白政治の確立
菅原道真,男,845,903,右大臣,醍醐,,遣唐使廃止。天神として祭られる
藤原時平,男,871,909,左大臣,醍醐,,道真を大宰府へ左遷（昌泰の変）
藤原忠平,男,880,949,関白,朱雀,,藤原氏の官職独占の基礎。小野宮流の祖
藤原兼家,男,929,990,摂政,一条,,花山天皇を退位させ一条天皇の外戚に。摂関政治の頂点
藤原道長,男,966,1028,摂政・太政大臣,一条,,「この世をば我が世とぞ思ふ」。藤原氏の最盛期
藤原頼通,男,992,1074,関白,後朱雀,,道長の子。平等院鳳凰堂建立
藤原道隆,男,953,995,関白,一条,,兼家の子。定子の父。中関白家
平忠盛,男,1096,1153,武将（平氏棟梁）,鳥羽,,清盛の父。院近臣として栄達
平将門,男,903,940,将（新皇を自称）,,939-940,承平天慶の乱。関東で反乱を起こし討伐される
源義家,男,1039,1106,陸奥守・武将,白河,,八幡太郎。後三年の役で武家の棟梁としての源氏を確立
平清盛,男,1118,1181,太政大臣,後白河,,平家の最盛期を築く。日宋貿易。治承・寿永の乱
清和,男,850,881,第56代天皇,,858-876,平安の君主
宇多,男,867,931,第59代天皇,,887-897,平安の君主
醍醐,男,885,930,第60代天皇,,897-930,平安の君主
朱雀,男,923,952,第61代天皇,,930-946,平安の君主
一条,男,980,1011,第66代天皇,,986-1011,平安の君主
後朱雀,男,1009,1045,第69代天皇,,1036-1045,平安の君主
鳥羽,男,1103,1156,第74代天皇,,1107-1123,平安の君主
白河,男,1053,1129,第72代天皇,,1073-1086,平安の君主
後白河,男,1127,1192,第77代天皇,,1155-1158,平安の君主
