名前,性別,生年,没年,肩書,主君,期間,メモ
王導,男,276,339,丞相,晉元帝司馬睿,,政治。衣冠南渡。東晋の建国を輔佐
謝安,男,320,385,丞相,晉孝武帝司馬曜,,政治。淝水の戦いを指揮
謝玄,男,343,388,将,晉孝武帝司馬曜,,軍事。北府兵を率いて淝水に大勝
桓溫,男,312,373,大将軍・権臣,晉穆帝司馬聃,,軍事。北伐3回。簒奪を企てる
祖逖,男,266,321,将,晉元帝司馬睿,,軍事。聞鶏起舞。北伐の先駆
陶侃,男,259,334,将・荊州刺史,晉成帝司馬衍,,軍事。蘇峻の乱を平定
王敦,男,266,324,大将軍・反乱,晉元帝司馬睿,,軍事。王敦の乱を起こす
劉裕,男,363,422,将・実権者,晉安帝司馬德宗,,軍事。北伐で南燕・後秦を滅ぼし宋を建国
晉元帝司馬睿,男,276,322,皇帝,,317-322,東晉の君主
晉孝武帝司馬曜,男,362,396,皇帝,,372-396,東晉の君主
晉穆帝司馬聃,男,343,361,皇帝,,344-361,東晉の君主
晉成帝司馬衍,男,321,342,皇帝,,325-342,東晉の君主
晉安帝司馬德宗,男,382,418,皇帝,,396-418,東晉の君主
