名前,性別,生年,没年,肩書,主君,期間,メモ
徳川家康,男,1543,1616,初代将軍,後水尾,1603-1605,江戸幕府の創設。関ヶ原の戦いの勝者
徳川秀忠,男,1579,1632,二代将軍,後水尾,1605-1623,大坂の陣で豊臣氏を滅ぼす
徳川家光,男,1604,1651,三代将軍,明正,1623-1651,参勤交代・鎖国の完成
徳川家綱,男,1641,1680,四代将軍,霊元,1651-1680,「犬公方」以前の安定時代
徳川綱吉,男,1646,1709,五代将軍,東山,1680-1709,生類憐れみの令。元禄文化
徳川家宣,男,1662,1712,六代将軍,東山,1709-1712,新井白石を登用
徳川家継,男,1709,1716,七代将軍,中御門,1713-1716,幼少で死去
徳川吉宗,男,1684,1751,八代将軍,中御門,1716-1745,享保の改革。目安箱・足高の制
徳川家重,男,1712,1761,九代将軍,桜町,1745-1760,大岡忠相の時代
徳川家治,男,1737,1786,十代将軍,桃園,1760-1786,田沼意次を重用
徳川家斉,男,1773,1841,十一代将軍,光格,1787-1837,大御所時代。化政文化
松平定信,男,1759,1829,老中,徳川家斉,1787-1793,寛政の改革。寛政異学の禁
徳川家慶,男,1793,1853,十二代将軍,仁孝,1837-1853,天保の改革（水野忠邦）の時代
水野忠邦,男,1794,1851,老中,徳川家慶,,天保の改革。上知令が失敗
徳川家定,男,1824,1858,十三代将軍,孝明,1853-1858,ペリー来航直後の将軍
徳川家茂,男,1846,1866,十四代将軍,孝明,1858-1866,公武合体・長州征討
井伊直弼,男,1815,1860,大老,徳川家茂,,日米修好通商条約。安政の大獄。桜田門外の変
徳川慶喜,男,1837,1913,十五代将軍,孝明,1866-1867,大政奉還。最後の将軍
島津斉彬,男,1809,1858,薩摩藩主,,,西洋近代化の先駆者。西郷隆盛を登用
坂本龍馬,男,1836,1867,志士（海援隊）,,,薩長同盟・船中八策。近江屋で暗殺
後水尾,男,1596,1680,第108代天皇,,1611-1629,江戸の君主
明正,女,1624,1696,第109代天皇,,1629-1643,江戸の君主
霊元,男,1654,1732,第112代天皇,,1663-1687,江戸の君主
東山,男,1675,1710,第113代天皇,,1687-1709,江戸の君主
中御門,男,1702,1737,第114代天皇,,1709-1735,江戸の君主
桜町,男,1720,1750,第115代天皇,,1735-1747,江戸の君主
桃園,男,1741,1762,第116代天皇,,1747-1762,江戸の君主
光格,男,1771,1840,第119代天皇,,1779-1817,江戸の君主
仁孝,男,1800,1846,第120代天皇,,1817-1846,江戸の君主
孝明,男,1831,1867,第121代天皇,,1846-1867,江戸の君主
