名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
ミハイル・ロマノフ,男,1596,1645,,,,ロシア皇帝（ロマノフ朝初代）,1613-1645,動乱時代を収束。ロマノフ朝の創始
アレクセイ,男,1629,1676,ミハイル・ロマノフ,,,ロシア皇帝,1645-1676,ピョートル大帝の父
ピョートル1世,男,1672,1725,アレクセイ,,,ロシア皇帝（大帝）,1682-1725,ペテルブルク建設。西欧化改革
エカチェリーナ1世,女,1684,1727,,,,ロシア女帝,1725-1727,ピョートル大帝の妻
エリザベタ,女,1709,1762,ピョートル1世,,,ロシア女帝,1741-1762,七年戦争
ピョートル3世,男,1728,1762,,,,ロシア皇帝,1762,エカチェリーナ2世により廃位
エカチェリーナ2世,女,1729,1796,,,,ロシア女帝（大帝）,1762-1796,啓蒙専制君主。ポチョムキンと黒海進出
パーヴェル1世,男,1754,1801,,,,ロシア皇帝,1796-1801,暗殺される
アレクサンドル1世,男,1777,1825,,,,ロシア皇帝,1801-1825,ナポレオン戦争に勝利
ニコライ1世,男,1796,1855,,,,ロシア皇帝,1825-1855,クリミア戦争
アレクサンドル2世,男,1818,1881,,,,ロシア皇帝,1855-1881,農奴解放。暗殺される
アレクサンドル3世,男,1845,1894,,,,ロシア皇帝,1881-1894,
ニコライ2世,男,1868,1918,アレクサンドル3世,,,最後のロシア皇帝,1894-1917,二月革命で退位。ロマノフ家処刑
