name,gender,birth,death,title,lord,period,note
Robert Walpole,male,1676,1745,First Prime Minister,George I,1721-1742,"""First Prime Minister"". Established cabinet government"
Nelson,male,1758,1805,Admiral,George III,,Killed at Trafalgar. Won the Nile
Pitt the Younger,male,1759,1806,Prime Minister,George III,1783-1806,Leading Prime Minister of the Napoleonic Wars
Wellington,male,1769,1852,General and Prime Minister,George IV,1828-1830,Defeated Napoleon at Waterloo
Gladstone,male,1809,1898,Prime Minister,Queen Victoria,1868-1894,Liberal. Gladstone vs Disraeli
Disraeli,male,1804,1881,Prime Minister,Queen Victoria,1874-1880,Conservative. Imperialist policy
Churchill,male,1874,1965,Prime Minister,George VI,1940-1955,"World War II leader. ""Iron Curtain"" speech"
Thatcher,female,1925,2013,Prime Minister (the Iron Lady),Elizabeth II,1979-1990,First female British PM. Thatcherism
George I,male,1660,1727,King of Great Britain (first Hanoverian),,1714-1727,United Kingdom ruler
George III,male,1738,1820,King of the United Kingdom,,1760-1820,United Kingdom ruler
George IV,male,1762,1830,King of the United Kingdom,,1820-1830,United Kingdom ruler
Queen Victoria,female,1819,1901,Queen of the United Kingdom,,1837-1901,United Kingdom ruler
George VI,male,1895,1952,King of the United Kingdom,,1936-1952,United Kingdom ruler
Elizabeth II,female,1926,2022,Queen of the United Kingdom,,1952-2022,United Kingdom ruler
