名前,肩書,期間,継承,朝代更换,メモ
ギリシア神話,神話時代,前1500-前1100,,,オリュンポス十二神の神話時代。トロイア戦争
古代ギリシア,古代,前489-前323,ギリシア神話,,ポリス・民主政・哲学。アレクサンドロス大王の死で終焉
共和政ローマ,古代,前509-前27,,古代ギリシア,王政廃止からアウグストゥスまで。ギリシアを征服（前146）
ローマ帝国,古代,前27-476,共和政ローマ,,アウグストゥスから西ローマ滅亡（476年）まで。395年東西に分裂
ビザンツ帝国,中世,330-1453,ローマ帝国,,東ローマ帝国。首都: コンスタンティノープル
フランク王国,中世,481-843,,ローマ帝国,メロヴィング朝→カロリング朝。西ローマ滅亡後の西欧の主役
神聖ローマ帝国,中世,962-1806,フランク王国,,962年オットー1世が戴冠（カロリング断絶後の再興）。1806年ナポレオンにより解体
フランス,中世-近世,986-1815,フランク王国,,843年西フランク王国を経てカペー朝成立。フランス革命・ナポレオン
イギリス,中世-近世,1066-2022,,,ノルマン征服（1066年）からウィンザー朝まで
スペイン,近世,1474-2014,,,カトリック両王の統合。ハプスブルク朝→ブルボン朝
ロシア,近世,1613-1917,,,ロマノフ朝。帝政ロシア
アメリカ,近世-現代,1789-2025,,イギリス,連邦政府発足（1789年）から現在。独立戦争（1776年）でイギリスから独立
