名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
米哈伊尔·罗曼诺夫,男,1596,1645,,,,俄国沙皇（罗曼诺夫王朝首任）,1613-1645,终结动荡时代。罗曼诺夫王朝创立者
阿列克谢,男,1629,1676,米哈伊尔·罗曼诺夫,,,俄国沙皇,1645-1676,彼得大帝之父
彼得一世,男,1672,1725,阿列克谢,,,俄国沙皇（大帝）,1682-1725,建设圣彼得堡。西欧化改革
叶卡捷琳娜一世,女,1684,1727,,,,俄国女皇,1725-1727,彼得大帝之妻
伊丽莎白,女,1709,1762,彼得一世,,,俄国女皇,1741-1762,七年战争
彼得三世,男,1728,1762,,,,俄国沙皇,1762,被叶卡捷琳娜二世废黜
叶卡捷琳娜二世,女,1729,1796,,,,俄国女皇（大帝）,1762-1796,开明专制君主。与波将金推进黑海扩张
保罗一世,男,1754,1801,,,,俄国沙皇,1796-1801,被暗杀
亚历山大一世,男,1777,1825,,,,俄国沙皇,1801-1825,拿破仑战争中获胜
尼古拉一世,男,1796,1855,,,,俄国沙皇,1825-1855,克里米亚战争
亚历山大二世,男,1818,1881,,,,俄国沙皇,1855-1881,解放农奴。被暗杀
亚历山大三世,男,1845,1894,,,,俄国沙皇,1881-1894,
尼古拉二世,男,1868,1918,亚历山大三世,,,俄国末代沙皇,1894-1917,二月革命中退位。罗曼诺夫家族被处决
