名前,性別,生年,没年,肩書,主君,期間,メモ
ロバート・ウォルポール,男,1676,1745,初代首相,ジョージ1世,1721-1742,「初代首相」内閣制度の確立
ネルソン,男,1758,1805,提督,ジョージ3世,,トラファルガーの海戦で戦死。ナイルの海戦
小ピット,男,1759,1806,首相,ジョージ3世,1783-1806,ナポレオン戦争の指導的首相
ウェリントン,男,1769,1852,将軍・首相,ジョージ4世,1828-1830,ワーテルローの戦いでナポレオンに勝利
グラッドストン,男,1809,1898,首相,ヴィクトリア女王,1868-1894,自由党。グラッドストンvsディズレーリ
ディズレーリ,男,1804,1881,首相,ヴィクトリア女王,1874-1880,保守党。帝国主義政策
チャーチル,男,1874,1965,首相,ジョージ6世,1940-1955,第二次世界大戦の指導者。「鉄のカーテン」演説
サッチャー,女,1925,2013,首相（鉄の女）,エリザベス2世,1979-1990,イギリス初の女性首相。サッチャリズム
ジョージ1世,男,1660,1727,イギリス王（ハノーヴァー朝初代）,,1714-1727,イギリスの君主
ジョージ3世,男,1738,1820,イギリス王,,1760-1820,イギリスの君主
ジョージ4世,男,1762,1830,イギリス王,,1820-1830,イギリスの君主
ヴィクトリア女王,女,1819,1901,イギリス女王,,1837-1901,イギリスの君主
ジョージ6世,男,1895,1952,イギリス王,,1936-1952,イギリスの君主
エリザベス2世,女,1926,2022,イギリス女王,,1952-2022,イギリスの君主
