名前,性別,生年,没年,肩書,主君,期間,メモ
多爾袞,男,1612,1650,摂政王,清世祖福臨,,政治・軍事。清の入関を主導
范文程,男,1597,1666,宰相・開国,清太宗皇太極,,政治。満洲貴族に漢制を説く
洪承疇,男,1593,1665,将・宰相,清世祖福臨,,政治・軍事。明から降り江南を平定
鰲拜,男,,1669,将・輔政,清世祖福臨,,政治。四輔政の一。康熙に誅滅
明珠,男,1635,1708,宰相,清聖祖玄燁,,政治。康熙の側近。索額図と党争
索額圖,男,1636,1703,宰相・外交,清聖祖玄燁,,外交。ネルチンスク条約交渉
李光地,男,1642,1718,宰相・学者,清聖祖玄燁,,政治・学術。朱子学
張廷玉,男,1672,1755,宰相,清世宗胤禛,,政治。雍正・乾隆の名宰相。軍機処
年羹堯,男,1679,1726,将・総督,清世宗胤禛,,軍事。青海を平定。失脚し自殺
和珅,男,1750,1799,宰相・権臣,清高宗弘曆,,政治・経済。乾隆の側近。巨額の私財
曾國藩,男,1811,1872,将・宰相,清文宗奕詝,,軍事・政治。湘軍で太平天国を平定
左宗棠,男,1812,1885,将・宰相,清穆宗載淳,,軍事。新疆を回復（阿古柏を討伐）
李鴻章,男,1823,1901,宰相・外交,清德宗載湉,,外交・政治。洋務運動。条約交渉の担い手
林則徐,男,1785,1850,総督・外交,清宣宗旻寧,,外交。アヘン禁止・虎門銷煙
張之洞,男,1837,1909,総督・経済,清德宗載湉,,政治・経済。洋務運動。漢陽鉄廠
恭親王奕訢,男,1833,1898,親王・宰相,清文宗奕詝,,外交・政治。総理衙門。同治中興
肅順,男,1816,1861,顧命大臣,清文宗奕詝,,政治。辛酉政変で処刑
袁世凱,男,1859,1916,将・宰相,清德宗載湉,,軍事・政治。北洋軍。清末の実力者
康有為,男,1858,1927,政治家・改革,清德宗載湉,,政治。戊戌変法を主導
清世祖福臨,男,1638,1661,皇帝,,1643-1661,清の君主
清太宗皇太極,男,1592,1643,皇帝,,1626-1643,清の君主
清聖祖玄燁,男,1654,1722,皇帝,,1661-1722,清の君主
清世宗胤禛,男,1678,1735,皇帝,,1722-1735,清の君主
清高宗弘曆,男,1711,1799,皇帝,,1735-1796,清の君主
清文宗奕詝,男,1831,1861,皇帝,,1850-1861,清の君主
清穆宗載淳,男,1856,1874,皇帝,,1861-1874,清の君主
清德宗載湉,男,1871,1908,皇帝,,1874-1908,清の君主
清宣宗旻寧,男,1782,1850,皇帝,,1820-1850,清の君主
