名前,性別,生年,没年,肩書,主君,期間,メモ
伊藤博文,男,1841,1909,初代内閣総理大臣,明治,1885-1909,大日本帝国憲法制定。初代・5代・7代・10代首相
大久保利通,男,1830,1878,内務卿,明治,,維新三傑の一人。殖産興業の主導
西郷隆盛,男,1828,1877,陸軍大将（維新三傑）,明治,,維新三傑。西南戦争で敗死
木戸孝允,男,1833,1877,参議（維新三傑）,明治,,五箇条の御誓文の起草
山県有朋,男,1838,1922,首相・陸軍卿,明治,,陸軍の基礎。軍部大臣現役武官制
大隈重信,男,1838,1922,首相・早稲田大学創設者,大正,,民権論の中心。東京専門学校（早稲田）創設
桂太郎,男,1848,1913,首相（陸軍大将）,大正,,桂園時代の一方。日露戦争の首相
東条英機,男,1884,1948,首相（陸軍大将）,昭和,1941-1944,太平洋戦争の首相。A級戦犯
吉田茂,男,1878,1967,首相,昭和,1946-1954,戦後復興の首相。日米安保体制の基礎
岸信介,男,1896,1987,首相,昭和,1957-1960,日米安全保障条約改定。岸信介=安倍晋三の祖父
明治,男,1852,1912,第122代天皇,,1867-1912,明治〜令和の君主
大正,男,1879,1926,第123代天皇,,1912-1926,明治〜令和の君主
昭和,男,1901,1989,第124代天皇,,1926-1989,明治〜令和の君主
