名前,肩書,期間,継承,朝代更换,メモ
三皇五帝,神話時代,前3000-前2070,,,神話・伝説時代。五帝の末・舜から禹へ禅譲
夏,統一王朝,前2070-前1600,,,禹が建国。首都: 陽城・斟鄩。鳴條之戦で商に滅ぼされる（湯武革命）
商,統一王朝,前1600-前1046,,夏,湯が建国（殷とも）。首都: 亳→殷。牧野之戦で周に滅ぼされる（武王伐紂）
西周,統一王朝,前1046-前771,,商,武王が建国。首都: 鎬京。犬戎の侵入で滅亡
東周,統一王朝,前770-前256,西周,,平王が洛邑へ遷都。春秋・戰國の時代。秦に滅ぼされる
春秋,分裂期,前770-前476,東周,,東周前期。五覇の時代
戰國,分裂期,前475-前256,東周,,東周後期。七雄が並立し秦が統一
秦,統一王朝,前246-前207,,戰國,始皇帝が全国統一。首都: 咸陽。陳勝・呉広の乱で滅亡
前漢,統一王朝,前202-9,,秦,劉邦が建国。首都: 長安。王莽に簒奪される
新,統一王朝,9-23,,前漢,王莽の簒奪。首都: 長安。赤眉の乱で滅亡
東漢,統一王朝,25-220,,新,光武帝が再興。首都: 洛陽。黄巾の乱で衰退し魏に簒奪される
魏,並立王朝,220-265,,東漢,曹丕の簒奪。三國の中心。首都: 洛陽。晋に簒奪される
蜀漢,並立王朝,221-263,,東漢,劉備が建国。首都: 成都。魏に滅ぼされる
呉,並立王朝,229-280,,東漢,孫権が建国。首都: 建業。晋に滅ぼされる
西晉,統一王朝,265-316,,魏,司馬炎の簒奪。首都: 洛陽。永嘉の乱で滅亡
東晉,統一王朝,317-420,西晉,,元帝が江南で再興。首都: 建康。宋に簒奪される
北魏,並立王朝,386-534,,,鮮卑拓跋部。首都: 平城→洛陽。東魏・西魏に分裂
南朝宋,並立王朝,420-479,,東晉,劉裕の簒奪。首都: 建康。齊に簒奪される
南齊,並立王朝,479-502,,南朝宋,蕭道成の簒奪。首都: 建康。梁に簒奪される
梁,並立王朝,502-557,,南齊,蕭衍の簒奪。首都: 建康。陳に簒奪される
東魏,並立王朝,534-550,北魏,,高歓が擁立。首都: 鄴。北齊に簒奪される
西魏,並立王朝,535-557,北魏,,宇文泰が擁立。首都: 長安。北周に簒奪される
北齊,並立王朝,550-577,,東魏,高洋の簒奪。首都: 鄴。北周に滅ぼされる
陳,並立王朝,557-589,,梁,陳霸先が建国。首都: 建康。隋に滅ぼされる
北周,並立王朝,557-581,,西魏,宇文覺の簒奪。首都: 長安。隋に簒奪される
隋,統一王朝,581-618,,北周,楊堅の簒奪。首都: 大興（長安）。唐に滅ぼされる
唐,統一王朝,618-907,,隋,唐滅隋。首都: 長安。朱温に簒奪される
武周,並立王朝,690-705,唐,,武則天の簒奪。首都: 洛陽。唐に復帰
後梁,並立王朝,907-923,,唐,朱温の簒奪。首都: 開封。後唐に滅ぼされる
後唐,並立王朝,923-936,,後梁,李存勗が建国。首都: 洛陽。後晋に滅ぼされる
後晉,並立王朝,936-946,,後唐,石敬瑭が建国（燕雲十六州を割譲）。契丹に滅ぼされる
後漢,並立王朝,947-950,,後晉,劉知遠が建国。首都: 開封。後周に簒奪される
後周,並立王朝,951-960,,後漢,郭威が建国。首都: 開封。宋に簒奪される（陳橋兵変）
吳,並立王朝,902-937,,,十国。楊行密が建国。首都: 揚州。南唐に併合
吳越,並立王朝,907-978,,,十国。銭鏐が建国。首都: 杭州。宋に併合
楚,並立王朝,907-951,,,十国。馬殷が建国。首都: 潭州。南唐に併合
前蜀,並立王朝,907-925,,,十国。王建が建国。首都: 成都。後唐に滅ぼされる
閩,並立王朝,909-945,,,十国。王審知が建国。首都: 福州。南唐に併合
南漢,並立王朝,917-971,,,十国。劉巖が建国。首都: 広州。宋に併合
荊南,並立王朝,924-963,,,十国（南平）。高季興が建国。首都: 江陵。宋に併合
後蜀,並立王朝,934-965,,,十国。孟知祥が建国。首都: 成都。宋に併合
南唐,並立王朝,937-975,,,十国。李昪が建国。首都: 金陵。宋に併合
北漢,並立王朝,951-979,,,十国。劉旻が建国。首都: 太原。宋に滅ぼされる
遼,並立王朝,916-1125,,,契丹。首都: 上京。金に滅ぼされる
北宋,統一王朝,960-1127,,後周,趙匡胤の簒奪（陳橋兵変）。首都: 開封。金に滅ぼされる（靖康の変）
金,並立王朝,1115-1234,,遼,女真。首都: 中都（北京）。北宋を滅ぼす。モンゴルに滅ぼされる
南宋,統一王朝,1127-1279,北宋,,高宗が江南で再興。首都: 臨安（杭州）。元に滅ぼされる
元,統一王朝,1206-1368,,金,モンゴル。首都: 大都（北京）。南宋を滅ぼす。明に滅ぼされる
明,統一王朝,1368-1644,,元,明滅元。首都: 南京→北京。李自成の乱で滅亡
清,統一王朝,1616-1912,,明,清軍入関。首都: 北京。辛亥革命で滅亡
