名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
元明,女,661,721,天智,,,第43代天皇,707-715,平城京遷都（710年）
元正,女,680,748,,元明,,第44代天皇,715-724,養老律令
聖武,男,701,756,文武,藤原宮子,光明皇后,第45代天皇,724-749,東大寺大仏建立
藤原宮子,女,,,藤原不比等,,文武,文武天皇の夫人（聖武の母）,,藤原不比等の娘。生没年不详
光明皇后,女,701,760,藤原不比等,,聖武,第45代の皇后,,藤原不比等の娘。大仏建立に尽力
孝謙,女,718,770,聖武,光明皇后,,第46代天皇,749-758,重祚して第48代称徳天皇
淳仁,男,733,765,,,,第47代天皇,758-764,藤原仲麻呂の乱で廃位
称徳,女,718,770,聖武,光明皇后,,第48代天皇（孝謙重祚）,764-770,重祚。道鏡事件
光仁,男,709,782,,,,第49代天皇,770-781,
高野新笠,女,720,790,,,,桓武天皇の母（贈皇太后）,,百済系渡来氏族出身
天智,男,626,672,,,,第38代天皇,662-672,中大兄皇子。近江令・庚午年籍
文武,男,683,707,,,,第42代天皇,697-707,大宝律令（701年）
藤原不比等,男,659,720,,,,右大臣,,藤原氏の基盤を築く。大宝律令・養老律令の編纂
