名前,性別,生年,没年,肩書,主君,期間,メモ
趙普,男,922,992,宰相,宋太祖趙匡胤,,政治。杯酒釈兵権。半部論語で天下を治める
曹彬,男,931,999,将,宋太祖趙匡胤,,軍事。南唐を平定
潘美,男,925,991,将,宋太祖趙匡胤,,軍事。開国の功臣。楊業の死の一因
寇準,男,961,1023,宰相,宋真宗趙恆,,政治。澶淵の盟で契丹を退ける
包拯,男,999,1062,御史・政治家,宋仁宗趙禎,,政治。清廉の鑑。包青天
范仲淹,男,989,1052,宰相・改革,宋仁宗趙禎,,政治。「先天下之忧而忧」慶暦の新政
韓琦,男,1008,1075,宰相,宋仁宗趙禎,,政治。慶暦の新政・熙寧の変法の間を支える
富弼,男,1004,1083,宰相・外交,宋仁宗趙禎,,外交。契丹との交渉
文彥博,男,1006,1097,宰相,宋仁宗趙禎,,政治。四朝の元老
歐陽修,男,1007,1072,宰相・文学,宋仁宗趙禎,,政治・文学。唐宋八大家
王安石,男,1021,1086,宰相・改革,宋神宗趙頊,1069-1085,政治・経済。熙寧の変法。新法の主導者
司馬光,男,1019,1086,宰相・学者,宋神宗趙頊,,政治・学術。『資治通鑑』。旧法党の中心
蘇軾,男,1037,1101,翰林学士・文学,宋神宗趙頊,,政治・文学。唐宋八大家。烏台詩案
狄青,男,1008,1057,将,宋仁宗趙禎,,軍事。南方の反乱を平定した名将
楊業,男,,986,将,宋太宗趙炅,,軍事。楊家将の祖。陳家谷で戦死
童貫,男,1054,1126,宦官・将,宋徽宗趙佶,,軍事。宦官として初めて枢密使に
蔡京,男,1047,1126,宰相・権臣,宋徽宗趙佶,,政治。六賊の筆頭
李綱,男,1083,1140,宰相・抗戦派,宋欽宗趙桓,,政治。靖康の変で開封防衛を指揮
宋太祖趙匡胤,男,927,976,皇帝,,960-976,北宋の君主
宋真宗趙恆,男,968,1022,皇帝,,997-1022,北宋の君主
宋仁宗趙禎,男,1010,1063,皇帝,,1022-1063,北宋の君主
宋神宗趙頊,男,1048,1085,皇帝,,1067-1085,北宋の君主
宋太宗趙炅,男,939,997,皇帝,,976-997,北宋の君主
宋徽宗趙佶,男,1082,1135,皇帝,,1100-1125,北宋の君主
宋欽宗趙桓,男,1100,1161,皇帝,,1126-1127,北宋の君主
