name,gender,birth,death,title,lord,period,note
Richelieu,male,1585,1642,Chancellor,Louis XIII,,Established absolutism. Joined the Thirty Years' War
Mazarin,male,1602,1661,Chancellor,Louis XIV,,Suppressed the Fronde. Tutor of Louis XIV
Colbert,male,1619,1683,Controller-General of Finances,Louis XIV,,Strengthened the French economy through mercantilism
Vauban,male,1633,1707,Soldier and military engineer,Louis XIV,,Genius of fortress design
Talleyrand,male,1754,1838,Foreign Minister,Napoleon I,,Congress of Vienna. Master of survival
Fouché,male,1759,1820,Minister of Police,Napoleon I,,Strongman of the Committee of Public Safety and the police
Clemenceau,male,1841,1929,Prime Minister (the Tiger),,1906-1920,Leading Prime Minister of World War I
Louis XIII,male,1601,1643,King of France,,1610-1643,France ruler
Louis XIV,male,1638,1715,King of France (the Sun King),,1643-1715,France ruler
Napoleon I,male,1769,1821,Emperor of the French,,1804-1815,France ruler
