名前,性別,生年,没年,肩書,主君,期間,メモ
宗澤,男,1060,1128,将・東京留守,宋高宗趙構,,軍事。開封の防衛戦
岳飛,男,1103,1142,大将軍,宋高宗趙構,,軍事。岳家軍。金を黄龍府まで追う。風波亭に没す
韓世忠,男,1089,1151,将,宋高宗趙構,,軍事。黄天蕩の戦い
張浚,男,1097,1164,将・宰相,宋高宗趙構,,政治・軍事。抗金の中心人物
秦檜,男,1090,1155,宰相・権臣,宋高宗趙構,,政治。岳飛を害した奸臣
虞允文,男,1110,1174,宰相・将,宋高宗趙構,,軍事。采石の戦いで金軍を破る
文天祥,男,1236,1283,宰相・忠臣,宋恭帝趙㬎,,政治。「人生自古誰無死」。元に捕らわれ殉死
陸秀夫,男,1238,1279,宰相,宋端宗趙昰,,政治。崖山の戦いで帝昺を背負い入水
張世傑,男,,1279,将,宋帝昺趙昺,,軍事。崖山の戦いで戦死
吳玠,男,1093,1139,将,宋高宗趙構,,軍事。和尚原の戦い
吳璘,男,1102,1167,将,宋高宗趙構,,軍事。呉玠の弟。川蜀を守る
辛棄疾,男,1140,1207,詞人・政治家,宋孝宗趙昚,,政治・文学。豪放派の詞人。抗金を訴える
賈似道,男,1213,1275,宰相・権臣,宋度宗趙禥,,政治。南宋末期の実権者。襄陽陥落の一因
宋高宗趙構,男,1107,1187,皇帝,,1127-1162,南宋の君主
宋恭帝趙㬎,男,1271,1323,皇帝,,1274-1276,南宋の君主
宋端宗趙昰,男,1269,1278,皇帝,,1276-1278,南宋の君主
宋帝昺趙昺,男,1272,1279,皇帝,,1278-1279,南宋の君主
宋孝宗趙昚,男,1127,1194,皇帝,,1162-1189,南宋の君主
宋度宗趙禥,男,1240,1274,皇帝,,1264-1274,南宋の君主
