名前,性別,生年,没年,肩書,主君,期間,メモ
房玄齡,男,579,648,宰相,唐太宗李世民,627-648,政治。貞観の治の名宰相
杜如晦,男,585,630,宰相,唐太宗李世民,,政治。「房謀杜断」
魏徵,男,580,643,諫臣・宰相,唐太宗李世民,,政治。直言で太宗を補佐
長孫無忌,男,594,659,宰相・外戚,唐太宗李世民,,政治。凌煙閣第一。高宗期に失脚
褚遂良,男,596,658,宰相・書家,唐高宗李治,,政治・書。武后廃立に反対し失脚
李靖,男,571,649,大将軍,唐太宗李世民,,軍事。突厥・吐谷渾を討つ
李勣,男,594,669,将・宰相,唐太宗李世民,,軍事。隋末の群雄から唐の三朝に仕える
狄仁傑,男,630,700,宰相,武周則天武曌,,政治。則天武后期の名宰相
姚崇,男,650,721,宰相,唐玄宗李隆基,,政治。開元の治の名宰相
宋璟,男,663,737,宰相,唐玄宗李隆基,,政治。姚崇と並ぶ名宰相
張九齡,男,678,740,宰相・詩人,唐玄宗李隆基,,政治・文学。玄宗期最後の名宰相
劉晏,男,716,780,宰相・経済,唐代宗李豫,,経済。塩法・漕運の改革
楊炎,男,727,781,宰相・経済,唐德宗李適,,経済。両税法を創始
李泌,男,722,789,宰相・道士,唐德宗李適,,政治。四朝に仕えた奇士
郭子儀,男,697,781,大将軍,唐代宗李豫,,軍事。安史の乱を平定。唐の再生の功臣
李光弼,男,708,764,将,唐肅宗李亨,,軍事。安史の乱の平定に郭子儀と並ぶ
顏真卿,男,709,785,尚書・書家,唐德宗李適,,政治・書。安禄山に抗戦。李希烈に殺される
陸贄,男,754,805,宰相,唐德宗李適,,政治。建中の乱を乗り切る
裴度,男,765,839,宰相・将,唐憲宗李純,,軍事・政治。藩鎮征討を主導し元和中興
安祿山,男,703,757,節度使・反乱,唐玄宗李隆基,,軍事。安史の乱を起こす
王忠嗣,男,705,749,将・節度使,唐玄宗李隆基,,軍事。河西・隴右など四節度使を兼任
唐太宗李世民,男,598,649,皇帝,,626-649,唐の君主
唐高宗李治,男,628,683,皇帝,,649-683,唐の君主
武周則天武曌,女,624,705,皇帝,,690-705,武周の君主
唐玄宗李隆基,男,685,762,皇帝,,712-756,唐の君主
唐代宗李豫,男,726,779,皇帝,,762-779,唐の君主
唐德宗李適,男,742,805,皇帝,,779-805,唐の君主
唐肅宗李亨,男,711,762,皇帝,,756-762,唐の君主
唐憲宗李純,男,778,820,皇帝,,805-820,唐の君主
