名前,性別,生年,没年,父,母,配偶者,肩書,期間,メモ
乌拉诺斯,男,约前2000,约前1900,,,盖亚,天空之神（神话）,,神话传说。生卒年为概算（用于时间线显示）
盖亚,女,约前2000,约前1900,,,乌拉诺斯,大地母神（神话）,,神话传说。生卒年为概算（用于时间线显示）
克洛诺斯,男,约前1800,约前1700,乌拉诺斯,盖亚,瑞亚,提坦神（神话）,,神话传说。宙斯之父
瑞亚,女,约前1800,约前1700,,,克洛诺斯,提坦神（神话）,,神话传说。宙斯之母
宙斯,男,约前1600,约前1400,克洛诺斯,瑞亚,赫拉,奥林匹斯众神之王,,神话传说。奥林匹斯十二主神之首
赫拉,女,约前1600,约前1400,克洛诺斯,瑞亚,宙斯,婚姻女神,,神话传说。宙斯之妻
波塞冬,男,约前1600,约前1400,克洛诺斯,瑞亚,,海神,,神话传说。宙斯之兄
得墨忒耳,女,约前1600,约前1400,克洛诺斯,瑞亚,,丰饶女神,,神话传说
赫斯提亚,女,约前1600,约前1400,克洛诺斯,瑞亚,,灶火女神,,神话传说
雅典娜,女,约前1500,约前1300,宙斯,,,智慧女神,,神话传说。雅典的守护神
阿波罗,男,约前1500,约前1300,宙斯,勒托,,太阳神,,神话传说。艺术之神
阿尔忒弥斯,女,约前1500,约前1300,宙斯,勒托,,月亮女神,,神话传说
阿瑞斯,男,约前1500,约前1300,宙斯,赫拉,,战神,,神话传说
阿佛洛狄忒,女,约前1500,约前1300,乌拉诺斯,,,爱与美之神,,神话传说
赫尔墨斯,男,约前1500,约前1300,宙斯,,,商业与信使之神,,神话传说
赫淮斯托斯,男,约前1500,约前1300,宙斯,赫拉,,锻冶之神,,神话传说
狄俄尼索斯,男,约前1500,约前1300,宙斯,,,酒神,,神话传说
勒托,女,约前1550,约前1350,,,,提坦女神（阿波罗之母）,,神话传说
欧律斯透斯,男,约前1400,约前1200,,,,迈锡尼国王（神话）,,神话传说。向赫拉克勒斯下达十二项功业
赫拉克勒斯,男,约前1350,约前1200,宙斯,,,英雄,,神话传说。十二项功业。武仙座
